shapeID,shapeName,bps_code,bps_name,match
22746128B69202393010200,Kolaka,7404,Kolaka,exact
22746128B88028223529334,Kolaka Timur,7411,Kolaka Timur,exact
22746128B11198700179718,Kolaka Utara,7408,Kolaka Utara,exact
22746128B78249855862414,Konawe,7403,Konawe,exact
22746128B22870517920414,Konawe Kepulauan,7412,Konawe Kepulauan,exact
22746128B90195550492320,Konawe Selatan,7405,Konawe Selatan,exact
22746128B68991025063444,Konawe Utara,7410,Konawe Utara,exact
22746128B58388026658287,Kota Ambon,8171,Ambon,exact
22746128B66626446070966,Kota Balikpapan,6471,Balikpapan,exact
22746128B56363132836699,Kota Banda Aceh,1171,Banda Aceh,exact
22746128B13880384963573,Kota Bandar Lampung,1871,Bandar Lampung,exact
22746128B71762235135177,Kota Bandung,3273,Bandung,exact
22746128B64728543729693,Kota Banjar,3279,Banjar,exact
22746128B6711072078761,Kota Banjar Baru,6372,Banjar Baru,exact
22746128B37126944555810,Kota Banjarmasin,6371,Banjarmasin,exact
22746128B85816588264471,Kota Baru,6302,Kota Baru,manual
22746128B16651418017337,Kota Batam,2171,B A T A M,exact
22746128B69457994360094,Kota Batu,3579,Batu,exact
22746128B66779214231616,Kota Baubau,7472,Baubau,exact
22746128B54763839112631,Kota Bekasi,3275,Bekasi,exact
22746128B322693337562,Kota Bengkulu,1771,Bengkulu,exact
22746128B33789977192923,Kota Bima,5272,Bima,exact
22746128B66679629138785,Kota Binjai,1276,Binjai,exact
22746128B20507278995893,Kota Bitung,7172,Bitung,exact
22746128B15123001204790,Kota Blitar,3572,Blitar,exact
22746128B63896883204987,Kota Bogor,3271,Bogor,exact
22746128B2679722836886,Kota Bontang,6474,Bontang,exact
22746128B12322141134935,Kota Bukittinggi,1375,Bukittinggi,exact
22746128B25933583546422,Kota Cilegon,3672,Cilegon,exact
22746128B53430054982428,Kota Cimahi,3277,Cimahi,exact
22746128B80288264799633,Kota Cirebon,3274,Cirebon,exact
22746128B89164850776530,Kota Denpasar,5171,Denpasar,exact
22746128B73481124779947,Kota Depok,3276,Depok,exact
22746128B18875576502901,Kota Dumai,1473,D U M A I,exact
22746128B66202348563483,Kota Gorontalo,7571,Gorontalo,exact
22746128B74256869593133,Kota Gunungsitoli,1278,Gunungsitoli,exact
22746128B58252967349746,Kota Jakarta Barat,3174,Jakarta Barat,exact
22746128B21128962092426,Kota Jakarta Pusat,3173,Jakarta Pusat,exact
22746128B93686700937380,Kota Jakarta Selatan,3171,Jakarta Selatan,exact
22746128B5353616278909,Kota Jakarta Timur,3172,Jakarta Timur,exact
22746128B85966169947265,Kota Jakarta Utara,3175,Jakarta Utara,exact
22746128B99667418524197,Kota Jambi,1571,Jambi,exact
22746128B85346986276333,Kota Jayapura,9471,Jayapura,exact
22746128B79918158306090,Kota Kediri,3571,Kediri,exact
22746128B80961359079738,Kota Kendari,7471,Kendari,exact
22746128B93986330379000,Kota Kotamobagu,7174,Kotamobagu,exact
22746128B56606429525327,Kota Kupang,5371,Kupang,exact
22746128B69628984727954,Kota Langsa,1173,Langsa,exact
22746128B88010078110453,Kota Lhokseumawe,1174,Lhokseumawe,exact
22746128B74548717001691,Kota Lubuklinggau,1674,Lubuklinggau,exact
22746128B30166819315055,Kota Madiun,3577,Madiun,exact
22746128B66141272433758,Kota Magelang,3371,Magelang,exact
22746128B73854317646589,Kota Makassar,7371,Makassar,exact
22746128B9724218643478,Kota Malang,3573,Malang,exact
22746128B83673204362612,Kota Manado,7171,Manado,exact
22746128B34810169298981,Kota Mataram,5271,Mataram,exact
22746128B40654739963843,Kota Medan,1275,Medan,exact
22746128B64737377738458,Kota Metro,1872,Metro,exact
22746128B53956788697299,Kota Mojokerto,3576,Mojokerto,exact
22746128B51925287869213,Kota Padang,1371,Padang,exact
22746128B34977061629525,Kota Padang Panjang,1374,Padang Panjang,exact
22746128B81378642761445,Kota Padangsidimpuan,1277,Padangsidimpuan,exact
22746128B19740076763731,Kota Pagar Alam,1673,Pagar Alam,exact
22746128B5087893857208,Kota Palangka Raya,6271,Palangka Raya,exact
22746128B87825164980488,Kota Palembang,1671,Palembang,exact
22746128B54354608226928,Kota Palopo,7373,Palopo,exact
22746128B23229204425516,Kota Palu,7271,Palu,exact
22746128B92282941938888,Kota Pangkal Pinang,1971,Pangkal Pinang,exact
22746128B37987509465042,Kota Parepare,7372,Parepare,exact
22746128B94413576870843,Kota Pariaman,1377,Pariaman,exact
22746128B86769429493629,Kota Pasuruan,3575,Pasuruan,exact
22746128B75816793285642,Kota Payakumbuh,1376,Payakumbuh,exact
22746128B98453198956040,Kota Pekalongan,3375,Pekalongan,exact
22746128B3549150233660,Kota Pekanbaru,1471,Pekanbaru,exact
22746128B46755595316405,Kota Pematang Siantar,1273,Pematang Siantar,exact
22746128B68403360613456,Kota Pontianak,6171,Pontianak,exact
22746128B13695709263199,Kota Prabumulih,1672,Prabumulih,exact
22746128B48742890195125,Kota Probolinggo,3574,Probolinggo,exact
22746128B78398648082643,Kota Sabang,1172,Sabang,exact
22746128B99456803569608,Kota Salatiga,3373,Salatiga,exact
22746128B87893249930832,Kota Samarinda,6472,Samarinda,exact
22746128B93370341632229,Kota Sawah Lunto,1373,Sawah Lunto,exact
22746128B5783483209745,Kota Semarang,3374,Semarang,exact
22746128B38845978082923,Kota Serang,3673,Serang,exact
22746128B47009036461165,Kota Sibolga,1271,Sibolga,exact
22746128B18670307275317,Kota Singkawang,6172,Singkawang,exact
22746128B30699524960223,Kota Solok,1372,Solok,exact
22746128B11366688050704,Kota Sorong,9171,Sorong,exact
22746128B20185680371825,Kota Subulussalam,1175,Subulussalam,exact
22746128B82825120895999,Kota Sukabumi,3272,Sukabumi,exact
22746128B31453944142504,Kota Sungai Penuh,1572,Sungai Penuh,exact
22746128B68603538827891,Kota Surabaya,3578,Surabaya,exact
22746128B33460906687482,Kota Surakarta,3372,Surakarta,exact
22746128B7613374511026,Kota Tangerang,3671,Tangerang,exact
22746128B62533997811788,Kota Tangerang Selatan,3674,Tangerang Selatan,exact
22746128B91306693093612,Kota Tanjung Balai,1272,Tanjung Balai,exact
22746128B73074683492420,Kota Tanjung Pinang,2172,Tanjung Pinang,exact
22746128B97983454808676,Kota Tarakan,6571,Tarakan,exact
22746128B57000549481658,Kota Tasikmalaya,3278,Tasikmalaya,exact
22746128B29639616204280,Kota Tebing Tinggi,1274,Tebing Tinggi,exact
22746128B85080883644541,Kota Tegal,3376,Tegal,exact
22746128B36781349389855,Kota Ternate,8271,Ternate,exact
22746128B24002479708791,Kota Tidore Kepulauan,8272,Tidore Kepulauan,exact
22746128B12552284418793,Kota Tomohon,7173,Tomohon,exact
22746128B79752231805890,Kota Tual,8172,Tual,exact
22746128B9761158776103,Kota Yogyakarta,3471,Yogyakarta,exact
22746128B93777795819955,Kotawaringin Barat,6201,Kotawaringin Barat,exact
22746128B94284518008212,Kotawaringin Timur,6202,Kotawaringin Timur,exact
22746128B8182037452639,Kuantan Singingi,1401,Kuantan Singingi,exact
22746128B69090577702614,Kubu Raya,6112,Kubu Raya,exact
22746128B61967707401144,Kudus,3319,Kudus,exact
22746128B43033686501526,Kulon Progo,3401,Kulon Progo,exact
22746128B44289127403365,Kuningan,3208,Kuningan,exact
22746128B27765258797580,Kupang,5303,Kupang,exact
22746128B93368126922918,Kutai Barat,6402,Kutai Barat,exact
22746128B55621143702768,Kutai Kartanegara,6403,Kutai Kartanegara,exact
22746128B75924443266043,Kutai Timur,6404,Kutai Timur,exact
22746128B75065966155231,Labuhan Batu,1207,Labuhan Batu,exact
22746128B23995987640193,Labuhan Batu Selatan,1222,Labuhan Batu Selatan,exact
22746128B7095356521044,Labuhan Batu Utara,1223,Labuhan Batu Utara,exact
22746128B84107388414918,Lahat,1604,Lahat,exact
22746128B62127435888540,Lamandau,6207,Lamandau,exact
22746128B62762388436916,Lamongan,3524,Lamongan,exact
22746128B74428971192525,Lampung Barat,1801,Lampung Barat,exact
22746128B4401734887211,Lampung Selatan,1803,Lampung Selatan,exact
22746128B57273633041967,Lampung Tengah,1805,Lampung Tengah,exact
22746128B49036162018248,Lampung Timur,1804,Lampung Timur,exact
